url	first_seen	portal	title	company	status	location
https://job-boards.eu.greenhouse.io/polyai/jobs/4855037101	2026-06-03	greenhouse-api	Forward Deployed AI Engineer (Must be based in Toronto, Canada)	PolyAI	added	Toronto, Canada
https://job-boards.eu.greenhouse.io/polyai/jobs/4796935101	2026-06-03	greenhouse-api	Forward Deployed AI Engineer (Must be PST timezone)	PolyAI	added	United States {West Coast}
https://job-boards.eu.greenhouse.io/polyai/jobs/4880510101	2026-06-03	greenhouse-api	Forward Deployed AI Engineer - Vancouver	PolyAI	added	Vancouver
https://www.rubrik.com/company/careers/departments/job.7510636?gh_jid=7510636	2026-06-03	greenhouse-api	Architect, AI Data Platform & Engineering	Rubrik	added	Bengaluru, India
https://www.rubrik.com/company/careers/departments/job.7844785?gh_jid=7844785	2026-06-03	greenhouse-api	Software Engineer - CPD (SME)	Rubrik	added	Bangalore
https://job-boards.greenhouse.io/anthropic/jobs/5208218008	2026-06-03	greenhouse-api	AI Compliance Officer	Anthropic	added	Dublin, IE
https://job-boards.greenhouse.io/anthropic/jobs/5183044008	2026-06-03	greenhouse-api	Anthropic Fellows Program, AI Safety	Anthropic	added	London, UK; Ontario, CAN; Remote-Friendly, United States; San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5030244008	2026-06-03	greenhouse-api	Anthropic Fellows Program, AI Security	Anthropic	added	London, UK; Ontario, CAN; Remote-Friendly, United States; San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5183051008	2026-06-03	greenhouse-api	Anthropic Fellows Program, ML Systems & Performance	Anthropic	added	London, UK; Ontario, CAN; Remote-Friendly, United States; San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5226862008	2026-06-03	greenhouse-api	Applied AI Architect, Applied AI (Digital Natives Business)	Anthropic	added	Munich, Germany
https://job-boards.greenhouse.io/anthropic/jobs/5031670008	2026-06-03	greenhouse-api	Applied AI Architect, Industries	Anthropic	added	London, UK
https://job-boards.greenhouse.io/anthropic/jobs/5161728008	2026-06-03	greenhouse-api	Applied AI Architect, Partnerships	Anthropic	added	Paris, France
https://job-boards.greenhouse.io/anthropic/jobs/5228931008	2026-06-03	greenhouse-api	Applied AI Architect (Startups)	Anthropic	added	Dublin, IE
https://job-boards.greenhouse.io/anthropic/jobs/4968059008	2026-06-03	greenhouse-api	Applied AI Architect, Startups	Anthropic	added	London, UK
https://job-boards.greenhouse.io/anthropic/jobs/5146028008	2026-06-03	greenhouse-api	Applied AI Engineer, Beneficial Deployments	Anthropic	added	Bangalore, India
https://job-boards.greenhouse.io/anthropic/jobs/5218573008	2026-06-03	greenhouse-api	Enterprise Account Executive - Retail	Anthropic	added	London, UK
https://job-boards.greenhouse.io/anthropic/jobs/5161882008	2026-06-03	greenhouse-api	IT Systems Engineer, Enterprise SaaS	Anthropic	added	Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5227643008	2026-06-03	greenhouse-api	[London] Applied AI Architect (Public Sector) 	Anthropic	added	London, UK
https://job-boards.greenhouse.io/anthropic/jobs/5119713008	2026-06-03	greenhouse-api	Research Engineer, Pretraining	Anthropic	added	London, UK
https://job-boards.greenhouse.io/anthropic/jobs/4938436008	2026-06-03	greenhouse-api	Research Engineer, Pretraining Scaling - London	Anthropic	added	London, UK
https://job-boards.greenhouse.io/anthropic/jobs/4616971008	2026-06-03	greenhouse-api	Research Engineer/Research Scientist, Pre-training	Anthropic	added	Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5238606008	2026-06-03	greenhouse-api	Software Engineer, RL Data	Anthropic	added	London, UK; Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5074908008	2026-06-03	greenhouse-api	Software Engineer, Safeguards Infrastructure 	Anthropic	added	London, UK
https://job-boards.greenhouse.io/anthropic/jobs/5117581008	2026-06-03	greenhouse-api	Solutions Architect, Applied AI 	Anthropic	added	Bangalore, India
https://databricks.com/company/careers/open-positions/job?gh_jid=8551533002	2026-06-03	greenhouse-api	AI Engineer - FDE (Forward Deployed Engineer)	Databricks	added	Paris, France
https://databricks.com/company/careers/open-positions/job?gh_jid=8501390002	2026-06-03	greenhouse-api	AI Solutions Architect (Pre-sales) - Strategic Accounts	Databricks	added	Amsterdam, Netherlands
https://databricks.com/company/careers/open-positions/job?gh_jid=8462016002	2026-06-03	greenhouse-api	Data & AI Platform Architect (Professional Services)	Databricks	added	Amsterdam, Netherlands
https://databricks.com/company/careers/open-positions/job?gh_jid=8554531002	2026-06-03	greenhouse-api	Data and AI Solution Architect (Professional Services)	Databricks	added	Munich, Germany
https://databricks.com/company/careers/open-positions/job?gh_jid=6966448002	2026-06-03	greenhouse-api	Delivery Solutions Architect - Communications, Media, Entertainment & Games	Databricks	added	United States
https://databricks.com/company/careers/open-positions/job?gh_jid=8476506002	2026-06-03	greenhouse-api	Field Engineering, AI/ML Product Specialist	Databricks	added	Singapore
https://databricks.com/company/careers/open-positions/job?gh_jid=8569436002	2026-06-03	greenhouse-api	Lakebase Sales Specialist - Retail	Databricks	added	United States
https://databricks.com/company/careers/open-positions/job?gh_jid=8461245002	2026-06-03	greenhouse-api	Resident Solutions Architect - Communications, Media, Entertainment & Games	Databricks	added	Florida, United States
https://databricks.com/company/careers/open-positions/job?gh_jid=8029666002	2026-06-03	greenhouse-api	Software Engineer - Backend	Databricks	added	Amsterdam, Netherlands
https://databricks.com/company/careers/open-positions/job?gh_jid=8029677002	2026-06-03	greenhouse-api	Software Engineer - Fullstack	Databricks	added	Amsterdam, Netherlands
https://databricks.com/company/careers/open-positions/job?gh_jid=8353757002	2026-06-03	greenhouse-api	Solutions Architect: Data & AI	Databricks	added	Bengaluru, India
https://databricks.com/company/careers/open-positions/job?gh_jid=8346277002	2026-06-03	greenhouse-api	Solutions Architect : Data & AI - Digital Native 	Databricks	added	Bengaluru, India
https://databricks.com/company/careers/open-positions/job?gh_jid=6049142002	2026-06-03	greenhouse-api	Solutions Architect, Retail 	Databricks	added	Remote - Ohio
https://databricks.com/company/careers/open-positions/job?gh_jid=8452396002	2026-06-03	greenhouse-api	Solutions Architect (Retail/CPG)	Databricks	added	London, United Kingdom
https://databricks.com/company/careers/open-positions/job?gh_jid=6649865002	2026-06-03	greenhouse-api	Solutions Architect, Retail - CPG	Databricks	added	Central - United States
https://databricks.com/company/careers/open-positions/job?gh_jid=8487768002	2026-06-03	greenhouse-api	Solutions Architect, Strategic Retail - Central 	Databricks	added	United States
https://databricks.com/company/careers/open-positions/job?gh_jid=8499585002	2026-06-03	greenhouse-api	Solutions Architect (Taiwan)	Databricks	added	Singapore
https://databricks.com/company/careers/open-positions/job?gh_jid=8544533002	2026-06-03	greenhouse-api	Specialist Solutions Architect - AI/ML	Databricks	added	United States
https://databricks.com/company/careers/open-positions/job?gh_jid=8525037002	2026-06-03	greenhouse-api	Specialist Solutions Architect - Cloud Infrastructure & Platform	Databricks	added	United States
https://databricks.com/company/careers/open-positions/job?gh_jid=7994379002	2026-06-03	greenhouse-api	Strategic Account Executive - Retail 	Databricks	added	London, United Kingdom
https://databricks.com/company/careers/open-positions/job?gh_jid=8441890002	2026-06-03	greenhouse-api	Strategic AI/BI Account Executive	Databricks	added	Remote - New York
https://databricks.com/company/careers/open-positions/job?gh_jid=8458710002	2026-06-03	greenhouse-api	Strategic Core Account Executive - Retail 	Databricks	added	Remote - Ohio
https://job-boards.greenhouse.io/couchbaseinc/jobs/4654923006	2026-06-03	greenhouse-api	Solutions Engineer	Couchbase	added	Sweden
https://job-boards.greenhouse.io/couchbaseinc/jobs/4667687006	2026-06-03	greenhouse-api	Solutions Engineer (Mandarin Speaker)	Couchbase	added	Singapore
https://job-boards.greenhouse.io/intercom/jobs/7824142	2026-06-03	greenhouse-api	AI Infrastructure Engineer	Intercom	added	Berlin, Germany
https://job-boards.greenhouse.io/intercom/jobs/7948297	2026-06-03	greenhouse-api	Business Development Representative, Emerging AI Products 	Intercom	added	Dublin, Ireland
